ID_User,Data_Adesao,Minutos_Assistidos,Plano
1,2023/05/10,45,basico
2,11-05-2023,120,PREMIUM
3,2023.05.12,300,Basico
4,13/05/2023,-50,premium
5,2023/05/10,50,Básico
6,11-05-2023,4500,basico
7,2023.05.12,80,PREMIUM
8,13/05/2023,200,Basico
9,2023/05/10,45,premium
10,11-05-2023,90,Básico
11,2023.05.12,45,basico
12,13/05/2023,120,PREMIUM
13,2023/05/10,300,Basico
14,11-05-2023,-50,premium
15,2023.05.12,50,Básico
16,13/05/2023,4500,basico
17,2023/05/10,80,PREMIUM
18,11-05-2023,200,Basico
19,2023.05.12,45,premium
20,13/05/2023,90,Básico
21,2023/05/10,45,basico
22,11-05-2023,120,PREMIUM
23,2023.05.12,300,Basico
24,13/05/2023,-50,premium
25,2023/05/10,50,Básico
26,11-05-2023,4500,basico
27,2023.05.12,80,PREMIUM
28,13/05/2023,200,Basico
29,2023/05/10,45,premium
30,11-05-2023,90,Básico
31,2023.05.12,45,basico
32,13/05/2023,120,PREMIUM
33,2023/05/10,300,Basico
34,11-05-2023,-50,premium
35,2023.05.12,50,Básico
36,13/05/2023,4500,basico
37,2023/05/10,80,PREMIUM
38,11-05-2023,200,Basico
39,2023.05.12,45,premium
40,13/05/2023,90,Básico
41,2023/05/10,45,basico
42,11-05-2023,120,PREMIUM
43,2023.05.12,300,Basico
44,13/05/2023,-50,premium
45,2023/05/10,50,Básico
46,11-05-2023,4500,basico
47,2023.05.12,80,PREMIUM
48,13/05/2023,200,Basico
49,2023/05/10,45,premium
50,11-05-2023,90,Básico
51,2023.05.12,45,basico
52,13/05/2023,120,PREMIUM
53,2023/05/10,300,Basico
54,11-05-2023,-50,premium
55,2023.05.12,50,Básico
56,13/05/2023,4500,basico
57,2023/05/10,80,PREMIUM
58,11-05-2023,200,Basico
59,2023.05.12,45,premium
60,13/05/2023,90,Básico
61,2023/05/10,45,basico
62,11-05-2023,120,PREMIUM
63,2023.05.12,300,Basico
64,13/05/2023,-50,premium
65,2023/05/10,50,Básico
66,11-05-2023,4500,basico
67,2023.05.12,80,PREMIUM
68,13/05/2023,200,Basico
69,2023/05/10,45,premium
70,11-05-2023,90,Básico
71,2023.05.12,45,basico
72,13/05/2023,120,PREMIUM
73,2023/05/10,300,Basico
74,11-05-2023,-50,premium
75,2023.05.12,50,Básico
76,13/05/2023,4500,basico
77,2023/05/10,80,PREMIUM
78,11-05-2023,200,Basico
79,2023.05.12,45,premium
80,13/05/2023,90,Básico
81,2023/05/10,45,basico
82,11-05-2023,120,PREMIUM
83,2023.05.12,300,Basico
84,13/05/2023,-50,premium
85,2023/05/10,50,Básico
86,11-05-2023,4500,basico
87,2023.05.12,80,PREMIUM
88,13/05/2023,200,Basico
89,2023/05/10,45,premium
90,11-05-2023,90,Básico
91,2023.05.12,45,basico
92,13/05/2023,120,PREMIUM
93,2023/05/10,300,Basico
94,11-05-2023,-50,premium
95,2023.05.12,50,Básico
96,13/05/2023,4500,basico
97,2023/05/10,80,PREMIUM
98,11-05-2023,200,Basico
99,2023.05.12,45,premium
100,13/05/2023,90,Básico
